Country Name;Country Code;Series Name;Series Code;1960 [YR1960];1961 [YR1961];1962 [YR1962];1963 [YR1963];1964 [YR1964];1965 [YR1965];1966 [YR1966];1967 [YR1967];1968 [YR1968];1969 [YR1969];1970 [YR1970];1971 [YR1971];1972 [YR1972];1973 [YR1973];1974 [YR1974];1975 [YR1975];1976 [YR1976];1977 [YR1977];1978 [YR1978];1979 [YR1979];1980 [YR1980];1981 [YR1981];1982 [YR1982];1983 [YR1983];1984 [YR1984];1985 [YR1985];1986 [YR1986];1987 [YR1987];1988 [YR1988];1989 [YR1989];1990 [YR1990];1991 [YR1991];1992 [YR1992];1993 [YR1993];1994 [YR1994];1995 [YR1995];1996 [YR1996];1997 [YR1997];1998 [YR1998];1999 [YR1999];2000 [YR2000];2001 [YR2001];2002 [YR2002];2003 [YR2003];2004 [YR2004];2005 [YR2005];2006 [YR2006];2007 [YR2007];2008 [YR2008];2009 [YR2009];2010 [YR2010];2011 [YR2011];2012 [YR2012];2013 [YR2013];2014 [YR2014];2015 [YR2015];2016 [YR2016];2017 [YR2017];2018 [YR2018];2019 [YR2019];2020 [YR2020];2021 [YR2021];2022 [YR2022]
Albania;ALB;Hospital beds (per 1,000 people);SH.MED.BEDS.ZS;5.102675915;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;4.271699905;4.187099934;4.160699844;4.086200237;4.138999939;4.138800144;4.069699764;3.970000029;3.935499907;4.132100105;4.02489996;3.998699904;4.013400078;3.831399918;3.017100096;3.190000057;3.140000105;3.049999952;3.049999952;3.029999971;3.26;3.26;3.14;3.07;3.01;3.08;3.12;3.09;..;3.01;2.99;2.88;2.88;2.89;..;..;..;..;..;..;..;..;..
Albania;ALB;Labor force, female (% of total labor force);SL.TLF.TOTL.FE.ZS;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;40.80567314;41.62723899;41.96039607;41.92536983;41.92636901;41.84261163;41.84129196;42.21653841;42.18686451;42.07047777;42.02620005;41.92629133;41.85129153;42.03539105;42.22166197;42.41814815;42.63683849;42.8841947;43.15763682;42.07159175;42.66484608;44.06023613;43.07963829;41.85302213;41.19511826;42.50292163;43.57696469;42.87430871;43.39270421;43.94223603;43.82286389;44.12113465;44.31005117
Algeria;DZA;Access to electricity (% of population);EG.ELC.ACCS.ZS;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;98.64002991;98.63796997;98.62735748;98.61521149;98.60852814;98.61431885;98.7;98.68524933;99.3;98.82485962;98.91090393;99.00265503;98.76466047;99.18792725;99.27455139;99.35619354;99.43369293;99.53002167;99.63774109;99.5;99.71877289;99.78782654;..
Algeria;DZA;Access to electricity, rural (% of rural population);EG.ELC.ACCS.RU.ZS;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;97.40930308;97.4255236;97.4253671;97.41524411;97.40127414;97.38974939;97.42298984;97.39467906;97.935286;97.4482372;97.49684271;97.56310692;97.67373253;97.76201274;97.9023321;98.07131002;98.26755679;98.56863344;98.94685318;98.68105626;99.12109082;99.28505078;..
Algeria;DZA;CO2 emissions (metric tons per capita);EN.ATM.CO2E.PC;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;2.466365604;2.541851285;2.499022087;2.640134411;2.634720413;2.684182209;2.626350224;2.525211077;2.494567358;2.554046267;2.601065339;2.520609526;2.605694613;2.751098761;2.752758782;2.85792657;2.985149131;3.023502915;3.116770947;3.187069044;3.184357;3.305232517;3.621367718;3.658468679;3.811521147;3.951960939;3.833834222;3.833681126;3.924298722;3.994401828;3.71822337;..;..
Algeria;DZA;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;..;-13.60544132;-19.68504183;34.31372878;5.839413008;6.206898211;-4.804970943;9.452962563;10.79623857;8.433280282;8.86265711;-11.33171917;27.42396948;3.813176296;7.494917705;5.045341613;8.386756484;5.258585986;9.214835701;7.477826551;0.790606972;2.999996088;6.400004115;5.400003025;5.599996529;3.699997255;0.400001003;-0.699997526;-1.000005491;4.400002161;0.80000058;-1.200000586;1.800002303;-2.100000758;-0.899996552;3.79999479;4.09999847;1.099999939;5.100003609;3.200001554;3.800000002;2.999999999;5.599999996;7.200000001;4.3;5.899999997;1.700000006;3.399999997;2.399999999;1.599999999;3.600000001;2.899999998;3.400000003;2.8;3.799999998;3.700000001;3.200000002;1.299999998;1.200000001;0.999999998;-5.099999998;3.4;3.200001647
Algeria;DZA;Hospital beds (per 1,000 people);SH.MED.BEDS.ZS;3.187407494;..;..;..;..;..;..;..;..;..;2.842499971;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;2.488399982;..;2.628999949;2.564399958;2.499300003;..;..;..;2.103199959;..;..;..;2.099999905;..;..;..;..;..;1.7;..;..;..;..;..;..;..;..;..;..;1.9;..;..;..;..;..;..;..
Algeria;DZA;Labor force, female (% of total labor force);SL.TLF.TOTL.FE.ZS;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;12.23808135;12.2710542;12.36656802;12.42511131;12.52120018;12.7074907;12.89422211;13.10137295;13.32810984;13.57631211;13.82894896;14.08830407;14.35356115;14.62230728;14.89565646;15.17682588;15.46424632;15.76123726;16.06680481;16.38081564;16.54327213;17.42538387;18.3385409;18.71377939;17.8314945;19.04724736;19.7316658;19.59683644;19.46083392;19.3455946;19.22961388;19.5184357;19.81385312
American Samoa;ASM;Access to electricity (% of population);EG.ELC.ACCS.ZS;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
American Samoa;ASM;Access to electricity, rural (% of rural population);EG.ELC.ACCS.RU.ZS;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
American Samoa;ASM;CO2 emissions (metric tons per capita);EN.ATM.CO2E.PC;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
American Samoa;ASM;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0.965517241;0.409836066;-0.408163265;-4.098360656;1.851851852;-2.657342657;-4.166666667;0.299850075;0;-4.334828102;-2.5;1.762820513;3.149606299;-1.679389313;-6.98757764;2.671118531;-0.487804878;4.411764706;-0.782472613;1.735015773
American Samoa;ASM;Hospital beds (per 1,000 people);SH.MED.BEDS.ZS;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
American Samoa;ASM;Labor force, female (% of total labor force);SL.TLF.TOTL.FE.ZS;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Andorra;AND;Access to electricity (% of population);EG.ELC.ACCS.ZS;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;..
Andorra;AND;Access to electricity, rural (% of rural population);EG.ELC.ACCS.RU.ZS;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;..
Andorra;AND;CO2 emissions (metric tons per capita);EN.ATM.CO2E.PC;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;7.592152178;7.336724754;7.099907477;6.937047806;6.663237053;6.754131706;7.08273185;7.194088;7.531924033;7.812961694;7.927016355;7.725626659;7.498764979;7.238069466;7.286756008;7.206273645;6.805400082;6.890389929;7.081822365;6.995396198;7.223590934;6.957586407;6.86229282;6.674233189;6.445930663;6.485769241;6.465288117;6.302097864;6.59405703;6.287203804;5.777147992;..;..
Andorra;AND;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;..;..;..;..;..;..;..;..;..;..;..;4.649465361;8.149743488;7.788467203;5.618789729;0.542205659;3.303787046;2.838575568;1.463000179;0.041557195;2.208727611;-0.132474511;1.246461111;1.770118317;1.78468669;2.321433034;3.253321776;5.547122171;5.094326203;4.82703425;3.781387586;2.546003524;0.92921404;-1.03148439;2.383182248;2.757501613;4.649738668;9.067672051;3.194793393;4.099078922;3.528362361;8.119357722;4.546362214;8.694203716;8.135676338;5.397795985;4.808688699;1.553188141;-5.559186369;-5.302846543;-1.974958;-0.008069753;-4.974443719;-3.547596515;2.504465521;1.434140395;3.70967807;0.34607189;1.58876549;2.015547638;-11.18393994;8.287199781;8.809579348
Andorra;AND;Hospital beds (per 1,000 people);SH.MED.BEDS.ZS;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;3.180000067;3;3.089999914;3.200000048;3.200000048;2.589999914;..;3.299999952;..;2.7;2.6;2.6;..;2.5;..;..;..;..;..;..;..;..;..;..;..;..;..
Andorra;AND;Labor force, female (% of total labor force);SL.TLF.TOTL.FE.ZS;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Angola;AGO;Access to electricity (% of population);EG.ELC.ACCS.ZS;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;24.2388649;20;26.32025528;27.35513687;28.39548492;29.44830894;30.52038765;37.5;38.49;33.84697723;34.98005295;34.6;37.25949097;38.3981781;32;42;41.78503418;42.90624237;45.29;45.63388062;46.95544434;48.22385406;..
Angola;AGO;Access to electricity, rural (% of rural population);EG.ELC.ACCS.RU.ZS;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;3.473994062;9.477076685;2.759651249;2.255916325;1.653743735;0.959755702;0.664274596;..;6.609390256;..;..;..;..;..;..;3.815067332;..;..;7.333448237;..;..;..;..
Angola;AGO;CO2 emissions (metric tons per capita);EN.ATM.CO2E.PC;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0.554941321;0.545806579;0.544412918;0.710960887;0.839266378;0.91426457;1.073630274;1.086325156;1.091172539;1.109791073;0.988416416;0.941818497;0.895716802;0.924988063;0.92981108;0.812875088;0.821263802;0.811413506;0.888609845;0.93945736;0.975916772;0.983787081;0.947583107;1.031043636;1.091497057;1.125185364;1.012552124;0.829723217;0.755827619;0.753638205;0.592742968;..;..
Angola;AGO;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;-4.400001219;0;4.200001429;6.000002165;3.49999949;2.900001742;4.082748635;6.128890478;0.041621462;-3.450098685;0.991359302;-5.838280733;-23.98341744;1.339363436;15.00000003;13.54436976;7.274277355;4.691146451;2.181489718;3.054624234;4.205998556;13.66568876;2.99;10.95000001;15.02999999;11.55;14.01000001;11.16999999;0.860000002;4.398375938;3.472053148;8.542107076;4.954613031;4.82255927;0.943571561;-2.580111222;-0.147149825;-1.316361689;-0.702272958;-5.638214717;1.199210521;3.04540301
Angola;AGO;Hospital beds (per 1,000 people);SH.MED.BEDS.ZS;2.061461687;..;..;..;..;..;..;..;..;..;2.720999956;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1.291300058;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0.8;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Angola;AGO;Labor force, female (% of total labor force);SL.TLF.TOTL.FE.ZS;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;49.98131676;50.0388641;50.10024886;50.21668771;50.35542957;50.42316313;50.39191789;50.37598788;50.39260912;50.45008033;50.5124293;50.52739416;50.55278716;50.5585047;50.55360859;50.54446806;50.49443532;50.45269753;50.41508856;50.38117805;50.35805686;49.79688738;49.76034693;49.73976349;49.73182125;49.73780065;49.73780906;49.74968597;49.77876831;49.82281837;49.81202339;49.90206544;49.93299846
Antigua and Barbuda;ATG;Access to electricity (% of population);EG.ELC.ACCS.ZS;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;95.76304626;95.94065094;96.11813354;96.29494476;96.47039032;96.64379883;96.81448364;96.98177338;97.14498138;97.30335236;97.67312622;97.74580383;100;97.87252045;97.94057465;92.2;100;100;100;98.53059387;98.69137573;94.55201403;100;100;100;100;100;100;100;100;100;100;..
Antigua and Barbuda;ATG;Access to electricity, rural (% of rural population);EG.ELC.ACCS.RU.ZS;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;93.43863479;93.70986522;94.0200279;94.3252592;94.62488355;94.91785189;95.2032694;95.48025559;95.74795828;96.00552515;96.57171859;96.69920954;100;96.96586989;97.11237876;100;100;100;100;98.0183196;98.23780086;92.6706917;100;100;100;100;100;100;100;100;100;100;..
Antigua and Barbuda;ATG;CO2 emissions (metric tons per capita);EN.ATM.CO2E.PC;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;3.44555331;3.479272087;3.379266614;3.372117751;3.357585878;3.438697038;3.650534399;3.757477042;3.940913851;4.054401864;4.16361335;4.223578036;4.340954725;4.619916747;4.654108765;4.716473225;4.91995797;5.111197815;5.142280573;5.365888282;5.435556334;5.258909938;5.359627712;5.343683967;5.34089381;5.450239602;5.526478512;5.488427222;5.550826185;5.525581597;5.121730122;..;..
Antigua and Barbuda;ATG;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;4.38362792;8.079745337;8.161430797;3.814916166;-0.084012264;5.364016269;10.1649956;7.643793593;11.49382857;6.626368845;5.213272897;5.252274661;3.011714684;2.176578603;1.158475191;5.279878709;6.676707103;-4.359587382;6.604459721;5.471608482;4.731125092;3.70761791;6.203431254;-4.548003473;1.02744197;6.076543688;5.767028612;6.473831316;12.70814853;9.315383163;-0.014340652;-11.96269725;-7.840594744;-1.958612628;1.439268513;0.485932081;2.211452513;1.445155299;4.099765539;2.463333366;6.953186092;3.10044515;-18.8803992;8.191718462;9.516395644
Antigua and Barbuda;ATG;Hospital beds (per 1,000 people);SH.MED.BEDS.ZS;7.706421852;..;..;..;..;..;..;..;..;..;6.53000021;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;6.599999905;..;..;6.104800224;..;..;3.880000114;..;..;..;..;2.6;2.3;2.5;2.4;2.4;2.4;2;1.7;2.2;2.2;..;..;3.6;3.55;3.61;3.01;2.89;..;..;..;..;..
Antigua and Barbuda;ATG;Labor force, female (% of total labor force);SL.TLF.TOTL.FE.ZS;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Argentina;ARG;Access to electricity (% of population);EG.ELC.ACCS.ZS;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;92.15480042;92.4921875;92.82945251;93.16604614;93.50127411;93.83446503;94.16493988;94.49201202;94.81500244;95.13315582;95.68047333;95.51106347;96.09600067;96.29795074;96.50537109;96.7252655;96.96440887;97.22439575;97.50160217;97.79220581;98.82;99.0342865;99.14379883;99.28577423;100;99.68903351;99.89974213;100;99.99373627;100;100;100;..
Argentina;ARG;Access to electricity, rural (% of rural population);EG.ELC.ACCS.RU.ZS;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;78.89458832;79.25427097;79.77863509;80.33370066;80.93588634;81.60809342;82.36987684;83.24706202;84.26384069;85.43186463;91.79072807;88.6387107;92.58309745;92.90436607;93.1807941;93.41749668;93.61898267;93.79681514;93.96902296;94.15653615;98.61670919;97.78904358;96.09656217;95.42646425;100;97.61605752;99.27306918;100;99.92295531;100;100;100;..
Argentina;ARG;CO2 emissions (metric tons per capita);EN.ATM.CO2E.PC;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;3.073563154;3.199038186;3.214972108;3.240242229;3.244828392;3.230308037;3.462789185;3.521297803;3.661556758;3.669601022;3.56791849;3.341877067;3.100488668;3.334890879;3.65608487;3.736716865;3.924261841;4.083151439;4.15237521;3.848348227;4.09984414;4.281028145;4.264111002;4.34225013;4.209111895;4.301913806;4.201815869;4.070111687;3.975650744;3.742029812;3.40561754;..;..
Argentina;ARG;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;..;5.427842876;-0.852021522;-5.308196825;10.13029766;10.56943334;-0.659726171;3.191996623;4.822500779;9.679526011;3.045643319;5.658131082;1.628416518;2.811754038;5.533804396;-0.028412104;-2.018251517;6.934147757;-4.506124802;10.22276346;1.51878395;-5.189789141;-0.735659159;4.349093279;1.570738702;-5.189024353;6.153377063;2.704868828;-1.089933341;-7.156949656;-2.467213778;9.133110567;7.937291556;8.206979072;5.836200704;-2.845209611;5.526689827;8.111046771;3.850178852;-3.385457041;-0.788998939;-4.408839683;-10.89448483;8.837040796;9.029573301;8.85165992;8.0471515;9.007650875;4.057233103;-5.918525076;10.12539816;6.003951693;-1.026420454;2.405323781;-2.512615321;2.731159828;-2.080327844;2.818502978;-2.617396463;-2.000861003;-9.900484814;10.71800993;4.95636996
Argentina;ARG;Hospital beds (per 1,000 people);SH.MED.BEDS.ZS;6.352250576;..;..;..;..;..;..;..;..;..;5.585800171;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;4.594299793;..;..;4.599999905;..;..;3.289999962;..;..;..;4.1;..;..;..;..;4;..;..;..;..;4.5;4.39;4.59;4.78;4.84;4.96;4.95;4.99;..;..;..;..;..
Argentina;ARG;Labor force, female (% of total labor force);SL.TLF.TOTL.FE.ZS;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;39.18227344;39.75867343;40.27636456;40.82376118;41.19574376;40.94076331;41.28135377;41.79063508;42.01027824;41.71824085;41.60506584;41.23579438;40.34322207;40.8841085;41.42644396;40.98261104;41.30738265;41.05324692;40.79610054;41.15223797;40.59997808;40.48755669;40.75852342;40.67292705;40.82346403;41.02502325;41.23308485;41.44127052;42.14622011;42.37605603;42.39383414;42.53391082;43.08141696
Armenia;ARM;Access to electricity (% of population);EG.ELC.ACCS.ZS;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;98.9;100;98;99.10691071;99.09443665;99.8;99.11369324;99.15378571;99.21111298;99.28181458;99.8;99.49461365;99.53586578;99.42;99.71;100;99.8;99.7;99.9;100;100;100;..
Armenia;ARM;Access to electricity, rural (% of rural population);EG.ELC.ACCS.RU.ZS;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;98.53397299;100;95.75746748;98.90324199;98.89789137;99.62269983;98.89847203;98.91566309;98.94651265;98.99174916;99.97352291;99.2552845;99.22062429;99.43714736;99.79554548;100;99.8;99.52897525;99.9;100;100;100;..
